NCircunscripcion;NDepto;CodDepto;CodMpio;NMpio;ZZ;PP;Npuesto;mesa;X;partido;candidato;votos;Votos Elias Vidal;Votos Tous de la Ossa
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;1;23001_Z1P1M1_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;2;2;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;10;23001_Z1P1M10_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;3;3;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;11;23001_Z1P1M11_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;1;1;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;12;23001_Z1P1M12_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;5;5;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;13;23001_Z1P1M13_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;1;1;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;14;23001_Z1P1M14_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;2;2;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;15;23001_Z1P1M15_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;1;1;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;16;23001_Z1P1M16_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;3;3;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;17;23001_Z1P1M17_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;1;1;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;18;23001_Z1P1M18_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;2;2;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;19;23001_Z1P1M19_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;2;2;0
CAMARA;CORDOBA;23;23001;MONTERIA;1;1;IE RANCHO GRANDE;2;23001_Z1P1M2_IE RANCHO GRANDE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;JULIO ALBERTO ELIAS VIDAL;1;1;0
